degree,price_year,price_total,n,pct_yes,pct_maybe,pct_no,wtp_weighted
bachelor,105000,420000,69,0.37681159420289856,0.4492753623188406,0.17391304347826086,0.6014492753623188
bachelor,127000,508000,69,0.17391304347826086,0.4057971014492754,0.42028985507246375,0.37681159420289856
bachelor,145000,580000,69,0.13043478260869565,0.2028985507246377,0.6666666666666666,0.2318840579710145
bachelor,152000,608000,69,0.10144927536231885,0.13043478260869565,0.7681159420289855,0.16666666666666666
bachelor,200000,800000,69,0.07246376811594203,0.10144927536231885,0.8260869565217391,0.12318840579710146
