id,degree,price_year,price_total,wtp_score,wtp_raw,gender,region,city_type,income,respondent_status
5,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,145000,580000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,152000,608000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
5,bachelor,200000,800000,0.5,"Можливо, залежно від програми",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,105000,420000,0.5,"Можливо, залежно від програми",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,127000,508000,0.5,"Можливо, залежно від програми",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,145000,580000,0.0,"Ні, не вступав(ла) б",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
6,bachelor,200000,800000,0.0,"Ні, за такої ціни не розглядатиму навчання",Чоловіча,Суми,Середнє місто (50–500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,127000,508000,1.0,"Так, це прийнятно",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,145000,580000,1.0,"Так, ціна прийнятна",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,152000,608000,1.0,"Так, все одно вступив(ла) б",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
7,bachelor,200000,800000,0.5,"Можливо, залежно від програми",Жіноча,дніпропетровська,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,105000,420000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,127000,508000,1.0,"Так, це прийнятно",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,145000,580000,1.0,"Так, ціна прийнятна",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
8,bachelor,152000,608000,0.0,"Ні, за такої ціни не розглядатиму навчання",Жіноча,Київ,Велике місто (понад 500 тис. населення),"Вище середнього – здатні оплачувати великі покупки, подорожі тощо без значних труднощів.",Студент KSE
